A,,B,AL,,AA,AB,AC,AD,AE,AF,AG,AH,Q,F,C,D,K,L,S,T,U,V,W,Z,AI,AJ,AK,,,
,,P100 E5-2650v4,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792639,IBM P100 E5-2650v4,,,,1649,,,,USD,1.6896,9.5,P100,1,Xeon E5-2650 v4,2,64,SATA,1000,,,0.1/0.1,,,500 GB of Internet traffic included.,24,,
,,2xP100 E5-2690v4,https://www.softlayer.com/cloud-computing/bluemix/store/configureOrder/553?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792640,IBM 2xP100 E5-2690v4,,,,2884,,,,USD,2.3296,19,P100,2,Xeon E5-2690 v4,2,128,SSD,960,,,1/1,,,1TB of Internet traffic included.,25,,
,,M60 E5-2690v4,https://www.softlayer.com/cloud-computing/bluemix/store/orderHourlyBareMetalInstance/178055/177?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1495792638&cm_mc_sid_52640000=1495792638,IBM M60 E5-2690v4,,6.071,,,,,,USD,2.3296,9.65,M60,1,Xeon E5-2690 v4,2,256,SATA,4000,SATA,4000,0.1/0.1,,,No Internet traffic included.,27,,
,,M60 E5-2620v3,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/47057,168829,2397?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM M60 E5-2620v3,,,,1609,,,,USD,0.9216,9.65,M60,1,Xeon E5-2620 v3,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,28,,
,,M60 E5-2650v3,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/47059,168829,2397?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM M60 E5-2650v3,,,,1689,,,,USD,1.472,9.65,M60,1,Xeon E5-2650 v3,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,29,,
,,2xM60 E5-2620v4,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/553/176647,168829?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM 2xM60 E5-2620v4,,,,2649,,,,USD,1.0752,19.3,M60,2,Xeon E5-2620 v4,2,128,SSD,960,,,0.1/0.1,,,500 GB of Internet traffic included.,30,,
,,2xM60 E5-2690v4,"https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/553/178055,168829?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251",IBM 2xM60 E5-2690v4,,,,3075,,,,USD,2.3296,19.3,M60,2,Xeon E5-2690 v4,2,256,SSD,960,,,0.1/0.1,,,500 GB of Internet traffic included.,31,,
,,2xK80 E5-2620v4,https://www.softlayer.com/cloud-computing/bluemix/Store/orderHourlyBareMetalInstance/178087/153?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM 2xK80 E5-2620v4,,5.377,,,,,,USD,1.0752,17.48,K80,2,Xeon E5-2620 v4,2,128,SSD,800,SSD,800,0.1/0.1,,,No Internet traffic included.,32,,
,,K80 E5-2690v3,https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/47057%2C46480%2C2397?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM K80 E5-2690v3,,,,1529,,,,USD,1.9968,8.74,K80,1,Xeon E5-2690 v3,2,64,SATA,1000,,,10/10,,,500 GB of Internet traffic included.,33,,
,,2xK2 E5-2690v4,https://www.softlayer.com/cloud-computing/bluemix/Store/orderHourlyBareMetalInstance/178055/157?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM 2xK2 E5-2690v4,,3.959,,,,,,USD,2.3296,9.15456,Grid K2,2,Xeon E5-2690 v4,2,128,SATA,4000,SATA,4000,0.1/0.1,,,No Internet traffic included.,34,,
,,K2 E5-2620v3,https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/141695%2C2739?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM K2 E5-2620v3,,,,1054,,,,USD,0.9216,4.57728,Grid K2,1,Xeon E5-2620 v3,2,64,SATA,1000,,,0.1/0.1,,,500 GB of Internet traffic included.,35,,
,,K2 E5-2690v3,https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/141695%2C47061%2C279?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251#category-disk0-title,IBM K2 E5-2690v3,,,,1224,,,,USD,1.9968,4.57728,Grid K2,1,Xeon E5-2690 v3,2,64,SATA,1000,,,0.1/0.1,,,500 GB of Internet traffic included.,36,,
,,K2 E5-2620v3,https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/141695%2C2739?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251,IBM K2 E5-2620v3,,,,1054,,,,USD,0.9216,4.57728,Grid K2,1,Xeon E5-2620 v3,2,64,SATA,1000,,,0.1/0.1,,,500 GB of Internet traffic included.,35,,
,,K2 E5-2690v3,https://www.softlayer.com/cloud-computing/bluemix/Store/configureOrder/251/141695%2C47061%2C279?language=en&cm_mc_uid=85839695048713933876447&cm_mc_sid_50200000=1496127251&cm_mc_sid_52640000=1496127251#category-disk0-title,IBM K2 E5-2690v3,,,,1224,,,,USD,1.9968,4.57728,Grid K2,1,Xeon E5-2690 v3,2,64,SATA,1000,,,0.1/0.1,,,500 GB of Internet traffic included.,36,,
Nimbix,www.nimbix.net/nimbix-cloud-demand-pricing,NGD4,,NM NGD4,,3.5,,,,,,USD,0.832,10.08,K40,2,POWER8,2,128,,,,,56/,,, http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?htmlfid=POB03046USEN,44,2,
,,NGD5,,NM NGD5,,4.85,,,,,,USD,0.832,34.96,K80,4,POWER8,2,128,,,,,56/,,, http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?htmlfid=POB03046USEN,45,,
,,NGQ7,,NM NGQ7,,7.4,,,,,,USD,0.832,27.376,M40,4,POWER8,2,128,,,,,56/,,, http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?htmlfid=POB03046USEN,46,,
,,NG08,,NM NG08,,29.5,,,,,,USD,0.832,76,P100,8,POWER8,2,512,,,,,100/,,, http://www-01.ibm.com/common/ssi/cgi-bin/ssialias?htmlfid=POB03046USEN,47,,
,,NP8G1,,NM NP8G1,,4.95,,,,,,USD,0.208,9.5,P100,1,POWER8,0.5,128,,,,,56/,,,"Provider web site mentions 32 threads, and Wikipedia says each core has 8 thread, while 1 CPU has 8 cores. That gives 64 threads per 1 CPU, thus 0.5 CPUs.",48,,
,,NP8G4,,NM NP8G4,,14.2,,,,,,USD,0.832,38,P100,4,POWER8,2,512,,,,,56/,,,"Provider web site mentions 128 threads, and Wikipedia says each core has 8 thread, while 1 CPU has 8 cores. That gives 64 threads per 1 CPU, thus 2 CPUs. ",49,,
Cirrascale,http://www.cirrascale.com/cloud/plans.aspx,16-GPU x86 K80 ltd.,,CR K80x8 x86,,,1499,4999,,,,USD,1.6384,69.92,K80,8,Xeon E5-2667 v3,2,512,SSD,1000,SATA,4000,,,,Limited quantity available at this price,58,,
,,8-GPU x86 M40 ltd.,,CR M40x8 x86,,,1499,4999,,,,USD,1.2288,54.752,M40,8,Xeon E5-2630 v3,2,256,SSD,1000,SATA,4000,,,,Limited quantity available at this price,59,,
,,8-GPU x86 P40,,CR P40x8 x86,,,2369,7899,,,,USD,1.2288,94.064,P40,8,Xeon E5-2630 v3,2,256,SSD,1000,SATA,4000,,,,,60,,
,,8-GPU x86 P100,,CR P100x8 x86,,,2369,7899,,,,USD,1.2288,76,P100,8,Xeon E5-2630 v3,2,256,SSD,1000,SATA,4000,,,,,61,,
,,8-GPU x86 Quadro P6000,,CR P6000x8 x86,,,2059,6429,,,,USD,1.2288,87.056,Quadro P6000,8,Xeon E5-2630 v3,2,256,SSD,1000,SATA,4000,,,,,62,,
,,4-GPU x86 P40,,CR P40x4 x86,,,1199,3999,,,,USD,0.6912,47.032,P40,4,Xeon E5-1650 v4,1,128,SSD,1000,SATA,4000,,,,,63,,
,,4-GPU x86 P100,,CR P100x4 x86,,,1199,3999,,,,USD,0.6912,38,P100,4,Xeon E5-1650 v4,1,128,SSD,1000,SATA,4000,,,,,64,,
,,4-GPU x86 Quadro P6000,,CR P6000x4 x86,,,989,3299,,,,USD,0.6912,43.528,Quadro P6000,4,Xeon E5-1650 v4,1,128,SSD,1000,SATA,4000,,,,,65,,
,,4-GPU POWER8/10 ,,CR P100x4 P8/10,,,2259,7449,,,,USD,0.9152,38,P100,4,POWER8,2,1000,SSD,2 x 960,SSD,2 x 960,24.24/,,,Infiniband EDR (24.24Gb/s),66,,
,,4-GPU POWER8/8 ,,CR P100x4 P8/8,,,1999,6679,,,,USD,0.832,38,P100,4,POWER8,2,512,SSD,960,SSD,960,,,,,67,,
,,2-GPU POWER8/8 ,,CR P100x2 P8/8,,,1269,4229,,,,USD,0.832,19,P100,2,POWER8,2,128,SSD,960,,,,,,,68,,
Sakura,https://www.sakura.ad.jp/koukaryoku/specification/,Quad GPU Maxwell ,,SK GTXTitanX x4 ,,267,,,,,,JPY,0.768,24.576,GTX Titan X,4,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,77,,
,,Quad GPU Pascal ,,SK TitanX x4 ,,294,,,,,,JPY,0.768,40.628,Titan X,4,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,78,,
,,Tesla P40 model ,,SK P40x1 ,,349,,,,,,JPY,0.768,11.758,P40,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,79,,
,,Tesla P100 model ,,SK P100x1 ,,357,,,,,,JPY,0.768,9.5,P100,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,80,,
,,Quad GPU Pascal,,SK TitanX x4,,,,93000,,,815000,JPY,0.768,40.628,Titan X,4,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,81,,
,,Tesla P40 model,,SK P40x1,,,,97000,,,875000,JPY,0.768,11.758,P40,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,82,,
,,Tesla P100 model,,SK P100x1,,,,99000,,,895000,JPY,0.768,9.5,P100,1,Xeon E5-2623 v3,2,128,SSD,480,SSD,480,10/0.1,,,,83,,
LeaderTelecom,https://www.leadergpu.com,2 x GeForce GTX 1080,,LT GTX1080x2,0.02,,91.11,364.45,,,,EUR,0.8704,16.456,GeForce GTX 1080,2,Xeon E5-2609 v4,2,32,SSD,480,,,40/1,,,"InternetIncluded  traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,09 &euro;/Gb.",88,,
,,4 x GeForce GTX 1080 ltd.,,LT GTX1080x4 ltd.,0.03,,240,848.65,,,,EUR,0.8704,32.912,GeForce GTX 1080,4,Xeon E5-2609 v4,2,64,SSD,480,,,40/1,,,"InternetIncluded  traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,10 &euro;/Gb. Special price till end of July 2017.",89,,
,,8 x GeForce GTX 1080,,LT GTX1080x8,0.09,,504.25,2017,,,,EUR,1.408,65.824,GeForce GTX 1080,8,Xeon E5-2630 v4,2,32,SSD,480,,,40/1,,,"InternetIncluded  traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,11 &euro;/Gb.",90,,
,,2 x P100,,LT P100x2,0.08,,439.68,1768.7,,,,EUR,1.408,19,P100,2,Xeon E5-2630 v4,2,32,SSD,480,,,40/1,,,"InternetIncluded  traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,12 &euro;/Gb.",91,,
,,2 x GTX 1080 Ti,,LT GTX1080Tix2,0.02,,109.33,437.34,,,,EUR,0.8704,21.218,GTX 1080 Ti,2,Xeon E5-2609 v4,2,32,SSD,480,,,40/1,,,"InternetIncluded  traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,13 &euro;/Gb.",92,,
,,4 x GTX 1080 Ti ltd.,,LT GTX1080Tix4 ltd.,0.04,,288,1018.38,,,,EUR,0.8704,42.436,GTX 1080 Ti,4,Xeon E5-2609 v4,2,64,SSD,480,,,40/1,,,"InternetIncluded  traffic for monthly based payments: 10 Tb/month; weekly based payments: 2.5 Tb/week; minute/hourly based payments: 0 Gb. Additional 1Gb (not included): 0,14 &euro;/Gb. Special price till end of July 2017.",93,,
The University of Tokyo,http://www.cc.u-tokyo.ac.jp/system/reedbush/reedbush_intro.html,Reedbush-H Personal (educational),,TU personal,,,,,138888.8889,,,JPY,2.4192,19,P100,2,Xeon E5-2695 v4,2,256,PFS,1000,,,109.12/,6912,,"For individuals from educational or public organisations. Max 2 nodes. Included (17280/2.5=)6912 node hours if 1 node is used, 3456 node hours if more than 1 node is used by a parallel job.",100,,
,,Reedbush-H (educational),,TU edu,,,,,277777.7778,,,JPY,2.4192,19,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,13824,,"For groups from educational or public organisations. Included 13824 node hours if 1 node is used, 6912 node hours if 2-4 nodes are used by a parallel job.",101,,
,,Reedbush-H reviewed (educational),,TU rev edu,,,,,166666.6667,,,JPY,2.4192,19,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,For groups from educational or public organisations. Included 8640 node hours. Must pass review prior to usage. 4320 node hours if a parallel job used more nodes than applied for.,102,,
,,Reedbush-H reviewed,,TU rev,,,,,200000,,,JPY,2.4192,19,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,Must pass review prior to usage. Included 8640 node hours. 4320 node hours if a parallel job used more nodes than applied for.,103,,
,,Reedbush-H dedicated reviewed (educational),,TU rev,,,,,250000,,,JPY,2.4192,19,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,Must pass review prior to usage. Included 8640 node hours. 4320 node hours if a parallel job used more nodes than applied for.,104,,
,,Reedbush-H dedicated reviewed,,TU rev,,,,,300000,,,JPY,2.4192,19,P100,2,Xeon E5-2695 v4,2,256,PFS,4000,,,109.12/,8640,,Must pass review prior to usage. Included 8640 node hours. 4320 node hours if a parallel job used more nodes than applied for.,105,,
MS Azure,https://azure.microsoft.com/en-us/pricing/details/virtual-machines/linux/,NC6,,MS NC6,,0.9,,669.6,,,,USD,0.4992,4.37,K80,0.5,Xeon E5-2690 v3,0.5,56,SATA,380,,,,,,1 GPU in specification is 1/2 of K80 ,114,,
,,NC12,,MS NC12,,1.8,,1339.2,,,,USD,0.9984,8.74,K80,1,Xeon E5-2690 v3,1,112,SATA,680,,,,,,,115,,
,,NC24,,MS NC24,,3.6,,2678.4,,,,USD,1.9968,17.48,K80,2,Xeon E5-2690 v3,2,224,SATA,1440,,,,,,,116,,
,,NC24r,,MS NC24r,,3.96,,2946.24,,,,USD,1.9968,17.48,K80,2,Xeon E5-2690 v3,2,224,SATA,1440,,,Infiniband/,,,RDMA capable,117,,
,,NV6,,MS NV6,,1.24,,,,,,USD,0.4992,9.65,M60,1,Xeon E5-2690 v3,0.5,56,SATA,340,,,,,,,118,,
,,NV12,,MS NV12,,2.48,,,,,,USD,0.9984,19.3,M60,2,Xeon E5-2690 v3,1,112,SATA,680,,,,,,,119,,
,,NV24,,MS NV24,,4.97,,,,,,USD,1.9968,38.6,M60,4,Xeon E5-2690 v3,2,224,SATA,1440,,,,,,,120,,
Google,https://cloud.google.com/compute/docs/machine-types,6c39m1g,,GL 6c39m1g,,1.073,,,,,,USD,0.1692,4.37,K80,0.5,,6,39,SSD,375,,,,,,"For the n1 series of machine types, a virtual CPU is implemented as a single hardware hyper-thread on a 2.6 GHz Intel Xeon E5 (Sandy Bridge), 2.5 GHz Intel Xeon E5 v2 (Ivy Bridge), 2.3 GHz Intel Xeon E5 v3 (Haswell), or 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>
Assumption: CPUS considered to have 2 hyper threads per physical core.<br>
Mean values for DP and SP: 14.1GFlops and 28.2GFlops<br>
In vCPU performance used SP value: 0.0282TFlops per vCPU.",129,,
,,12c78m2g,,GL 12c78m2g,,2.034,,,,,,USD,0.3384,8.74,K80,1,,12,78,SSD,375,,,,,,"For the n1 series of machine types, a virtual CPU is implemented as a single hardware hyper-thread on a 2.6 GHz Intel Xeon E5 (Sandy Bridge), 2.5 GHz Intel Xeon E5 v2 (Ivy Bridge), 2.3 GHz Intel Xeon E5 v3 (Haswell), or 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>
Assumption: CPUS considered to have 2 hyper threads per physical core.<br>
Mean values for DP and SP: 14.1GFlops and 28.2GFlops<br>
In vCPU performance used SP value: 0.0282TFlops per vCPU.",130,,
,,24c156m4g,,GL 24c156m4g,,3.955,,,,,,USD,0.6768,17.48,K80,2,,24,156,SSD,375,,,,,,"For the n1 series of machine types, a virtual CPU is implemented as a single hardware hyper-thread on a 2.6 GHz Intel Xeon E5 (Sandy Bridge), 2.5 GHz Intel Xeon E5 v2 (Ivy Bridge), 2.3 GHz Intel Xeon E5 v3 (Haswell), or 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>
Assumption: CPUS considered to have 2 hyper threads per physical core.<br>
Mean values for DP and SP: 14.1GFlops and 28.2GFlops<br>
In vCPU performance used SP value: 0.0282TFlops per vCPU.",131,,
,,32c208m4g,,GL 32c208m4g,,4.303,,,,,,USD,0.9024,17.48,K80,2,,32,208,SSD,375,,,,,,"For the n1 series of machine types, a virtual CPU is implemented as a single hardware hyper-thread on a 2.6 GHz Intel Xeon E5 (Sandy Bridge), 2.5 GHz Intel Xeon E5 v2 (Ivy Bridge), 2.3 GHz Intel Xeon E5 v3 (Haswell), or 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>
Assumption: CPUS considered to have 2 hyper threads per physical core.<br>
Mean values for DP and SP: 14.1GFlops and 28.2GFlops<br>
In vCPU performance used SP value: 0.0282TFlops per vCPU.",132,,
,,64c416m8g,,GL 64c416m8g,,8.493,,,,,,USD,1.8048,34.96,K80,4,,64,416,SSD,375,,,,,,"For the n1 series of machine types, a virtual CPU is implemented as a single hardware hyper-thread on a 2.6 GHz Intel Xeon E5 (Sandy Bridge), 2.5 GHz Intel Xeon E5 v2 (Ivy Bridge), 2.3 GHz Intel Xeon E5 v3 (Haswell), or 2.2 GHz Intel Xeon E5 v4 (Broadwell).<br>
Assumption: CPUS considered to have 2 hyper threads per physical core.<br>
Mean values for DP and SP: 14.1GFlops and 28.2GFlops<br>
In vCPU performance used SP value: 0.0282TFlops per vCPU.",133,,
IDCF,https://www.idcf.jp/service/deeplearning/,GPU.7XL P100,,IDCF P100,,440,,,,220000,,JPY,2.24,9.5,P100,1,,2,256,SSD,2100,,,,,,"3.24GB of network traffic included with 10 JPY per additional 1 GB, or 100Mbps unlimited traffic for a flat monthly rate of 30000 JPY.",141,,
,,GPU.7XL M40,,IDCF M40,,400,,,,198000,,JPY,2.24,6.844,M40,1,,2,256,SSD,2100,,,,,,"3.24GB of network traffic included with 10 JPY per additional 1 GB, or 100Mbps unlimited traffic for a flat monthly rate of 30001 JPY.",142,,
Tsubame 2.5,http://tsubame.gsic.titech.ac.jp/en/paid-services,S,,Tsub.S,,,,,480000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,54,SSD,50,,,80/,3000,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,147,,
,,S open,,Tsub.S open,,,,,120000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,54,SSD,50,,,80/,3000,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,148,,
,,S96,,Tsub.S96,,,,,480000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,96,SSD,50,,,80/,2500,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,149,,
,,S96 open,,Tsub.S96 open,,,,,120000,,,JPY,0.28128,10.572,K20,3,Xeon X5670,2,96,SSD,50,,,80/,2500,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,150,,
,,G,,Tsub.G,,,,,480000,,,JPY,0.09376,10.572,K20,3,Xeon X5670,0.666666667,25,SSD,30,,,80/,6000,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,151,,
,,G open,,Tsub.G open,,,,,120000,,,JPY,0.09376,10.572,K20,3,Xeon X5670,0.666666667,25,SSD,30,,,80/,6000,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,152,,
,,L256,,Tsub.L256,,,,,480000,,,JPY,0.512,2.4883,S1070,1,Xeon X7550,4,252,SSD,500,,,40/,750,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,153,,
,,L256 open,,Tsub.L256 open,,,,,120000,,,JPY,0.512,2.4883,S1070,1,Xeon X7550,4,252,SSD,500,,,40/,750,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,154,,
,,L512,,Tsub.L512,,,,,480000,,,JPY,0.512,2.4883,S1070,1,Xeon X7550,4,504,SSD,500,,,40/,375,2.5,Research group must pass review prior to usage. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,155,,
,,L512 open,,Tsub.L512 open,,,,,120000,,,JPY,0.512,2.4883,S1070,1,Xeon X7550,4,504,SSD,500,,,40/,375,2.5,Research group must pass review prior to usage. Research results must be published. Nodes*hours (hours limit) calculated for jobs that run >1 hour and <1 day.,156,,
